Country Name,Country Code,Series Name,Series Code,2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],Long Name,Income Group,Region
Hungary,HUN,CO2 emissions (kt),EN.ATM.CO2E.KT,47762.675,44521.047,41440.767,..,..,..,Hungary,High income,Europe & Central Asia
Indonesia,IDN,CO2 emissions (kt),EN.ATM.CO2E.KT,573379.454,599539.832,479364.908,..,..,..,Republic of Indonesia,Lower middle income,East Asia & Pacific
Isle of Man,IMY,CO2 emissions (kt),EN.ATM.CO2E.KT,..,..,..,..,..,..,Isle of Man,High income,Europe & Central Asia
India,IND,CO2 emissions (kt),EN.ATM.CO2E.KT,1846763.539,2018503.817,2034752.294,..,..,..,Republic of India,Lower middle income,South Asia
Ireland,IRL,CO2 emissions (kt),EN.ATM.CO2E.KT,35826.59,35720.247,34964.845,..,..,..,Ireland,High income,Europe & Central Asia
"Iran, Islamic Rep.",IRN,CO2 emissions (kt),EN.ATM.CO2E.KT,619165.616,643862.861,616976.417,..,..,..,Islamic Republic of Iran,Upper middle income,Middle East & North Africa
Iraq,IRQ,CO2 emissions (kt),EN.ATM.CO2E.KT,133929.841,153012.909,167812.921,..,..,..,Republic of Iraq,Upper middle income,Middle East & North Africa
Iceland,ISL,CO2 emissions (kt),EN.ATM.CO2E.KT,1881.171,1870.17,1969.179,..,..,..,Republic of Iceland,High income,Europe & Central Asia
Israel,ISR,CO2 emissions (kt),EN.ATM.CO2E.KT,69130.284,75529.199,71073.794,..,..,..,State of Israel,High income,Middle East & North Africa
Italy,ITA,CO2 emissions (kt),EN.ATM.CO2E.KT,397994.178,369446.583,344767.673,..,..,..,Italian Republic,High income,Europe & Central Asia
Jamaica,JAM,CO2 emissions (kt),EN.ATM.CO2E.KT,7722.702,7326.666,7726.369,..,..,..,Jamaica,Upper middle income,Latin America & Caribbean
Jordan,JOR,CO2 emissions (kt),EN.ATM.CO2E.KT,21668.303,24858.593,24807.255,..,..,..,Hashemite Kingdom of Jordan,Upper middle income,Middle East & North Africa
Japan,JPN,CO2 emissions (kt),EN.ATM.CO2E.KT,1191056.268,1229574.436,1243384.358,..,..,..,Japan,High income,East Asia & Pacific
Kazakhstan,KAZ,CO2 emissions (kt),EN.ATM.CO2E.KT,259121.221,244720.912,262901.898,..,..,..,Republic of Kazakhstan,Upper middle income,Europe & Central Asia
Kenya,KEN,CO2 emissions (kt),EN.ATM.CO2E.KT,13457.89,12515.471,13300.209,..,..,..,Republic of Kenya,Lower middle income,Sub-Saharan Africa
Kyrgyz Republic,KGZ,CO2 emissions (kt),EN.ATM.CO2E.KT,7656.696,10120.92,9842.228,..,..,..,Kyrgyz Republic,Lower middle income,Europe & Central Asia
Cambodia,KHM,CO2 emissions (kt),EN.ATM.CO2E.KT,5207.14,5456.496,5573.84,..,..,..,Kingdom of Cambodia,Lower middle income,East Asia & Pacific
Kiribati,KIR,CO2 emissions (kt),EN.ATM.CO2E.KT,62.339,62.339,62.339,..,..,..,Republic of Kiribati,Lower middle income,East Asia & Pacific
St. Kitts and Nevis,KNA,CO2 emissions (kt),EN.ATM.CO2E.KT,267.691,278.692,278.692,..,..,..,St. Kitts and Nevis,High income,Latin America & Caribbean
